Name,URL,ISSN,"EconLit Coverage",Formerly,See
"EIB Papers",http://www.eib.org/infocentre/publications/economics/publications/eib-papers/index.htm,0257-7755,"1996, 1(1) - 2011, 16(2)",,
"eJournal of Tax Research",https://www.business.unsw.edu.au/research/research-journals/atax-journal,1448-2398,"2003, 1(1) - present",,
Ekonomia,http://www.ekonomia.ucy.ac.cy/,1025-5508,"Summer 1997, 1(1) - 2012-2013, 15-16(2-1)","Cyprus Journal of Economics",
Ekonomiaz,http://www1.euskadi.net/ekonomiaz/indice_c.apl,0213-3865,"1st Quadrimester 2001, (46) - present",,
"Ekonomická Revue: Central European Review of Economic Issues",http://www.ekf.vsb.cz/cerei/en/,1212-3951,"2010, 13(1) - present",,
"Ekonomicko–Matematicky Obzor",,0013-3027,"1969, 5(1) - 1979, 15(4)",,
"Ekonomický Časopis/Journal of Economics",https://ekonom.sav.sk/en/casopis/contents-of-volumes,0013-3035,"2004, 52(1) - present",,
"Ekonomie a Management",http://www.ekonomie-management.cz/en/archiv/,1212-3609,"2005, 8(1) - present",,
"Ekonomik Yakla&scedil;im",http://www.ekonomikyaklasim.org/?sec=archive,1300-1868,"2013, 24(86) - present",,
Ekonomika,http://www.ekonomika.org.rs/en/ekonomika_casopis.html,0350-137X,"2014, 60(1) - present",,
"Ekonomika APK",http://eapk.org.ua/en/archive,2221-1055,"2013, (1) - present",,
"Ekonomika preduze&cacute;a",https://www.ses.org.rs/casopis/arhiva-radova,0353-443X,"January-February 2014, 62(1-2) - present",,
"Ekonomika (Vilnius University)",http://www.zurnalai.vu.lt/ekonomika/issue/archive,1392-1258,"2015, 94(1) - present",,
"Ekonomiska Samfundets Tidskrift",http://www.ekonomiskasamfundet.fi/tidskriften/,0013-3183,"1969, 22(1) - 2014, 67(2)",,
"Ekonomska i ekohistorija/Economic- and Ecohistory",https://hrcak.srce.hr/ekonomska-i-ekohistorija,1845-5867,"2005, 1(1) - present",,
"Ekonomska Misao i Praksa",https://emip.unidu.hr/,1330-1039,"1992, (1) - present",,
"Ekonomske ideje i praksa",http://www.ekof.bg.ac.rs/publications/journals/economic-ideas-and-practice/arhiva/?lang=en,2217-6217,"April 2011, (1) - present",,
"Ekonomski Anali/Economic Annals",,0013-3264,"January-March 2007, 52(172) - January-March 2008, (176)",,"Economic Annals"
"Ekonomski Horizonti/Economic Horizons",http://www.horizonti.ekfak.kg.ac.rs/index.php?q=en,1450-863X,"January-April 2012, 14(1) - present",,
"Ekonomski Pregled",http://hrcak.srce.hr/ekonomski-pregled?lang=en,0424-7558,"2003, 54(1-2) - present",,
"Ekonomski Vjesnik",http://www.efos.unios.hr/ekonomski-vjesnik/en/table-of-contents-by-issue/,0353-359X,"2010, 23(1) - present",,
"El Trimestre Economico",https://www.eltrimestreeconomico.com.mx/index.php/te/issue/archive,0041-3011,"Oct.-Dec. 1978, 45(180) - present",,
"electronic International Journal of Time Use Research",http://www.eijtur.org/content.php,1860-9937,"September 2009, 6(1) - present",,
"Emerging Markets Finance and Trade",http://www.tandfonline.com/loi/mree20#.VrDKHikS2Lp,1540-496X,"July-Aug. 2002, 38(4) - present","Russian and East European Finance and Trade",
"Emerging Markets Review",http://www.sciencedirect.com/science/journal/15660141,1566-0141,"2000, 1(1) - present",,
Empirica,https://link.springer.com/journal/volumesAndIssues/10663,0340-8744,"1976, (1) - present",,
"Empirical Economic Review",https://ojs.umt.edu.pk/index.php/eer,2415-0304,"Summer 2018, 1(1) - present",,
"Empirical Economics",https://link.springer.com/journal/volumesAndIssues/181,0377-7332,"1976, 1(1) - present",,
"Empirical Economics Letters",http://www.eel.my100megs.com/,1681-8997,"September 2002, 1(1) - present",,
"Empirical Economics Review",http://eer.freevar.com/,2222-9736,"March 2017, 7(1) - present",,
Energia,https://www.rivistaenergia.it/tutti-i-numeri/,0392-7911,"March 2009, 30(1) - present",,
"Energy Economics",http://www.sciencedirect.com/science/journal/01409883,0140-9883,"Jan. 1980, 2(1) - present",,
"Energy Journal",http://www.iaee.org/en/publications/journal.aspx,0195-6574,"April 1981, 2(2) - present",,
"Energy Policy",http://www.sciencedirect.com/science/journal/03014215,0301-4215,"January 2010, 38(1) - present",,
"Energy Research and Social Science",https://www.sciencedirect.com/journal/energy-research-and-social-science/issues,2214-6296,"January 2017, 23 - present",,
"Energy Studies Review",http://digitalcommons.mcmaster.ca/esr/all_issues.html,0843-4379,"1992, 4(1) - present",,
"Engineering Economist",http://www.tandfonline.com/loi/utee20#.UdR_TayE7xU,0013-791X,"Jan.-Feb. 1969, 14(2) - Winter 1981, 26(2)",,
Enometrica,http://www2.unimc.it/enometrica/View-content-on-line,1974-4730,"March 2008, 1(1) - 2012, 5(2)",,
"Ensaios FEE",https://revistas.dee.spgg.rs.gov.br/index.php/ensaios/,0101-1723,"2002, 23(1) - 2018, 38(4)",,
"Ensayos de Economía",http://www.revistas.unal.edu.co/index.php/ede,0121-117X,"October 2007, 17(30) - present",,
"Ensayos Economicos",http://www.bcra.gob.ar/Institucional/Ensayos_economicos.asp,0325-3937,"January-June 2010, (57-58) - present",,
"Ensayos: Revista de Economía",http://ensayos.uanl.mx/index.php/ensayos/issue/archive,1870-221X,"May 2009, 28(1) - present",,
"Ensayos sobre Política Económica",https://investiga.banrep.gov.co/en/espe,0120-4483,"June 2004, (45) - present",,
"Enterprise and Society",https://www.cambridge.org/core/journals/enterprise-and-society/all-issues,1467-2227,"March 2000, 1(1) - present",,
"Entrepreneurial Business and Economics Review",https://eber.uek.krakow.pl/index.php/eber/issue/archive,2353-883X,"2013, 1(1) - present",,
"Entrepreneurship and Regional Development",http://www.tandfonline.com/loi/tepn20,0898-5626,"Jan.-March 2000, 12(1) - present",,
"Entrepreneurship Research Journal",http://www.degruyter.com/view/j/erj,2194-6175,"January 2011, 1(1) - present",,
"Entreprise et Société/Business and Society",https://classiques-garnier.com/business-society.html,2553-7830,"2017, 1(1) - present",,
"Environment and Development Economics",http://journals.cambridge.org/action/displayBackIssues?jid=EDE,1355-770X,"Feb. 1996, 1(1) - present",,
"Environment and Planning A",http://epn.sagepub.com/content/by/year,0308-518X,"Oct. 1987, 19(10) - present",,
"Environment and Planning C: Government and Policy",,0263-774X,"Feb. 1995, 13(1) - December 2016, 34(8)",,"Environment and Planning C: Politics and Space"
"Environment and Planning C: Politics and Space",http://journals.sagepub.com/loi/epc,2399-6544,"February 2017, 35(1) - present","Environment and Planning C: Government and Policy",
"Environmental and Resource Economics",https://link.springer.com/journal/volumesAndIssues/10640,0924-6460,"1991, 1(1) - present",,
"Environmental Economics and Policy Studies",https://link.springer.com/journal/volumesAndIssues/10018,1432-847X,"1998, 1(1) - present",,
"Environmental Values",http://www.erica.demon.co.uk/EV/EVcont.html,0963-2719,"Spring 1992, 1(1) - August 2008, 17(3)",,
e-Pública,https://e-publica.unizar.es/en/home,1885-5628,"2006, (1) - present",,
"Equidad y Desarrollo",http://revistas.lasalle.edu.co/index.php/ed/issue/archive,1692-7311,"January-June 2014, 21 - present",,
"Equilibrium: Quarterly Journal of Economics and Economic Policy",http://economic-research.pl/Journals/index.php/eq/issue/archive,1689-765X,"2013, 8(1) - present",,
"Erasmus Journal for Philosophy and Economics",http://ejpe.org/archive/,1876-9098,"Autumn 2008, 1(1) - present",,
"Erciyes Üniversitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi",https://dergipark.org.tr/en/pub/erciyesiibd,1301-3688,"January-June 2008, (30) - present",,
EsicMarket,http://www.esic.edu/esicmarket,0212-1867,"January-April 2008, (129) - present",,
"Eskisehir Osmangazi Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi",https://dergipark.org.tr/tr/pub/oguiibf,1306-6730,"2006, 1(1) - present",,
"Essays in Economic and Business History",https://www.ebhsoc.org/journal/index.php/ebhs,0896-226X,"2012, 30 - present",,
"Estey Centre Journal of International Law and Trade Policy",,1496-5208,"2000, 1(1) - 2014, 15(2)",,"Estey Journal of International Law and Trade Policy"
"Estey Journal of International Law and Trade Policy",https://law.usask.ca/research/publications/estey-journal-of-international-law-and-trade-policy.php,1496-5208,"2015, 16(1) - present","Estey Centre Journal of International Law and Trade Policy",
"Estudios de Economia",https://estudiosdeeconomia.uchile.cl/index.php/EDE/issue/archive,0304-2758,"June 1992, 19(1) - present",,
"Estudios de Economía Aplicada",http://ojs.ual.es/ojs/index.php/eea/issue/archive,1133-3197,"April 2004, 22(1) - present",,
"Estudios Económicos (Colegio de México)",http://estudioseconomicos.colmex.mx/,0188-6916,"Jan.-June 1986, 1(1) - present","Demografía y Economía",
"Estudios Económicos de Desarrollo Internacional",http://www.usc.es/~economet/eedi.htm,1578-4479,"2001, 1(1) - 2010, 10(2)",,
"Estudios económicos (Universidad Nacional del Sur)",https://revistas.uns.edu.ar/ee/issue/archive,0425-368X,"January-June 2019, 36(72) - present",,
"Estudios Empresariales",,0425-3698,"1978, (37) - Spring-Summer 1985, (58)",,
"Estudios Gerenciales",http://www.icesi.edu.co/revistas/index.php/estudios_gerenciales/issue/archive,0123-5923,"Jan.-March 2003, (86) - present",,
"Estudios Sociales",http://www.ciad.mx/estudiosociales/index.php/es/issue/archive,0188-4557,"January-June 2007, 15(29) - July-December 2019, 29(54)",,
"Estudos Economicos",https://www.revistas.usp.br/ee/issue/archive,0101-4161,"Special Issue 1994, 24 - present",,
"Ethics and Economics/Ethique Economique",http://ethique-economique.net,1639-1306,"2003, 1(1) - 2016, 13(2)",,
"Ethiopian Journal of Economics",https://eea-et.org/course_category/ethiopian-journal-of-economics-2/,1993-3681,"April 2014, 23(1) - present",,
"Eurasian Academy of Sciences Eurasian Business and Economics Journal",https://eurasianacademy.org/index.php/busecon/issue/archive,2149-3545,"2015, 1 - present",,
"Eurasian Business Review",https://link.springer.com/journal/volumesAndIssues/40821,1309-4297,"Spring 2011, 1(1) - present",,
"Eurasian Econometrics, Statistics and Empirical Economics Journal",https://eurasianacademy.org/index.php/econstat/issue/archive,2149-3561,"2015, 1 - present",,
"Eurasian Economic Review",https://link.springer.com/journal/volumesAndIssues/40822,1309-422X,"Spring 2011, 1(1) - present",,
"Eurasian Geography and Economics",http://www.tandfonline.com/loi/rege20,1538-7216,"March 2002, 43(2) - present","Post-Soviet Geography and Economics",
"Eurasian Journal of Business and Economics",https://www.ejbe.org/index.php/EJBE/issue/archive,1694-5948,"May 2008, 1(1) - present",,
"Eurasian Journal of Business and Management",https://eurasianpublications.com/eurasian-journal-of-business-and-management/current-past-issues/,2148-0206,"2013, 1(1) - present",,
EuroChoices,https://onlinelibrary.wiley.com/loi/1746692x,1478-0917,"Spring 2001 - present",,
"EuroMed Journal of Business",https://www.emerald.com/insight/publication/issn/1450-2194,1450-2194,"2006, 1(1) - present",,
"EuroMed Journal of Management",https://www.inderscience.com/jhome.php?jcode=emjm,2055-1711,"2015, 1(1) - present",,
"European Competition Journal",http://www.tandfonline.com/loi/recj20#.VsI2sSkS2Lp,1744-1056,"March 2005, 1(1) - present",,
"European Economic Review",http://www.sciencedirect.com/science/journal/00142921,0014-2921,"April 1973, 4(1) - present",,
"European Finance Review",,1382-6662,"1997, 1(1) - 2003, 7(3)",,"Review of Finance"
"European Financial Management",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291468-036X/issues,1354-7798,"March 1995, 1(1) - present",,
"European Journal of Business Research",http://www.iabe.org/domains/iabeX/journalinfo.aspx?JournalID=EJBR,1945-2977,"2015, 15(1) - present",,
"European Journal of Comparative Economics",http://eaces.liuc.it/default.asp,1824-2979,"Spring 2004, 1(1) - present",,
"European Journal of Development Research",https://link.springer.com/journal/volumesAndIssues/41287,0957-8811,"June 1996, 8(1) - present",,
"European Journal of Economic and Social Systems",http://ejess.revuesonline.com/acceuil.jsp,1292-8895,"2007, 20(1) - present",,
"European Journal of Economics and Economic Policies: Intervention",http://www.elgaronline.com/EJEEP,2052-7764,"2013, 10(1) - present","Intervention: European Journal of Economics and Economic Policies",
"European Journal of Family Business",http://www.revistas.uma.es/index.php/ejfb/issue/archive,2444-877X,"January-June 2016, 6(1) - present","Revista de Empresa Familiar",
"European Journal of Finance",http://www.tandfonline.com/loi/rejf20,1351-847X,"March 2000, 6(1) - present",,
"European Journal of Government and Economics",http://revistas.udc.es/index.php/ejge/issue/archive,2254-7088,"2012, 1(1) - present",,
"European Journal of Health Economics",https://link.springer.com/journal/volumesAndIssues/10198,1618-7598,"2003, 3(1) - present","HEPAC: Health Economics in Prevention and Care",
"European Journal of Housing Policy",,1461-6718,"April 2001, 1(1) - December 2009, 9(4)",,"International Journal of Housing Policy"
"European Journal of Industrial Relations",http://ejd.sagepub.com/archive/,0959-6801,"March 1995, 1(1) - present",,
"European Journal of International Relations",http://journals.sagepub.com/loi/ejta,1354-0661,"March 1995, 1(1) - present",,
"European Journal of Law and Economics",https://link.springer.com/journal/volumesAndIssues/10657,0929-1261,"March 1994, 1(1) - present",,
"European Journal of Management",http://www.iabe.org/domains/iabeX/journalinfo.aspx?JournalID=EJM,1555-4015,"2013, 13(1) - present",,
"European Journal of Operational Research",http://www.sciencedirect.com/science/journal/03772217,0377-2217,"January 2015, 240(1) - present",,
"European Journal of Political Economy",http://www.sciencedirect.com/science/journal/01762680,0176-2680,"March 1993, 9(1) - present",,
"European Journal of Population",https://link.springer.com/journal/volumesAndIssues/10680,0168-6577,"February 2014, 30(1) - present","European Journal of Population/Revue Européenne de Démographie",
"European Journal of Population/Revue Européenne de Démographie",,0168-6577,"February 2010, 26(1) - November 2013, 29(4)",,"European Journal of Population"
"European Journal of the History of Economic Thought",http://www.tandfonline.com/loi/rejh20,0967-2567,"Autumn 1993, 1(1) - present",,
"European Political Economy Review",http://eper.htw-berlin.de/main.htm,1742-5697,"Spring 2003, 1(1) - Autumn 2009, (9)",,
"European Research on Management and Business Economics",http://www.sciencedirect.com/science/journal/24448834,2444-8834,"January-April 2016, 22(1) - present","Investigaciones Europeas de Dirección y Economía de la Empresa",
"European Research Studies",https://www.ersj.eu/index.php,1108-2976,"Jan.-March 1998, 1(1) - present",,
"European Review of Agricultural Economics",https://academic.oup.com/erae/issue,0165-1587,"1983, 1(1) - present",,
"European Review of Economic History",https://academic.oup.com/ereh/issue,1361-4916,"April 1997, 1(1) - present",,
"European Review of Service Economics and Management",https://classiques-garnier.com/european-review-of-service-economics-and-management.html,2497-0107,"2016, 1(1) - present",,
"European Transport/Trasporti Europei",http://www.istiee.org/te/,1825-3997,"April 2005, (29) - present",,
"Evolutionary and Institutional Economics Review",https://link.springer.com/journal/volumesAndIssues/40844,1349-4961,"November 2004, 1(1) - present",,
"Experimental Economics",https://link.springer.com/journal/volumesAndIssues/10683,1386-4157,"1998, 1(1) - present",,
"Expert Journal of Economics",http://economics.expertjournals.com/articles/,2359-7704,"2013, 1(1) - present",,
"Expert Review of Pharmacoeconomics and Outcomes Research",http://www.future-drugs.com/loi/erp,1473-7167,"October 2001, 1(1) - April 2005, 5(2)",,
"Explorations in Economic History",http://www.sciencedirect.com/science/journal/00144983,0014-4983,"Spring 1970, 7(3) - present",,
"Facta Universitatis, Series: Economics and Organization",http://casopisi.junis.ni.ac.rs/index.php/FUEconOrg/issue/archive,0354-4699,"2017, 14(1) - present",,
"Faith and Economics",http://christianeconomists.org/faith-economics/,0896-307X,"Spring 2005, (45) - present",,
"Family Economics and Nutrition Review",https://www.fns.usda.gov/family-economics-and-nutrition-review,1085-9985,"1995, 8(2) - 2004, 16(2)","Family Economics Review",
"Family Economics Review",,0425-676X,"1992, 5(1) - 1995, 8(1)",,"Family Economics and Nutrition Review"
"FDIC Banking Review",http://www.fdic.gov/bank/analytical/banking/index.html,,"Fall 1996, 9(1) - present",,
"FDIC Quarterly",http://www.fdic.gov/bank/analytical/quarterly/,,"2007, 1(1) - present",,
"Federal Reserve Bank Business Review of Philadelphia",,,"Jan. 1970 - Nov. 1973",,"Federal Reserve Bank of Philadelphia Business Review"
"Federal Reserve Bank of Atlanta Economic Review",http://www.frbatlanta.org/pubs/economicreview/,0732-1813,"Jan.-Feb. 1988, 73(1) - present",,
"Federal Reserve Bank of Boston New England Economic Review",http://www.bostonfed.org/economic/neer/neerback.htm,0028-4726,"Jan.-Feb. 1998 - 1st Quarter 2004","New England Economic Review",
"Federal Reserve Bank of Chicago Economic Perspectives",https://www.chicagofed.org/publications/publication-listing?filter_series=10,0164-0682,"Jan.-Feb. 1992, 16(1) - present",,
"Federal Reserve Bank of Cleveland Economic Review",http://www.clevelandfed.org/research/review/,0013-0281,"1st Quarter 1994, 30(1) - 4th Quarter 2001, 37(4)",,
"Federal Reserve Bank of Dallas Economic and Financial Policy Review",http://dallasfed.org/research/efpr/,,"2002, 1(1) - 2004, 3(2)","Federal Reserve Bank of Dallas Economic and Financial Review",
"Federal Reserve Bank of Dallas Economic and Financial Review",,,"2nd Quarter 1999 - 4th Quarter 2001",,"Federal Reserve Bank of Dallas Economic and Financial Policy Review"
"Federal Reserve Bank of Dallas Economic Review",http://www.dallasfed.org/research/er/index.cfm,0732-1414,"Jan. 1983 - 1st Quarter 1999",,
"Federal Reserve Bank of Kansas City Economic Review",https://www.kansascityfed.org/publications/research/er,0161-2387,"3rd Quarter 1992, 77(3) - present",,
"Federal Reserve Bank of Kansas City Monthly Review",,,"Jan. 1969 - Dec. 1973",,
"Federal Reserve Bank of Minneapolis Quarterly Review",https://www.minneapolisfed.org/economic-research/quarterly-reviews,0271-5287,"Winter 1983, 7(1) - present",,
"Federal Reserve Bank of New York Economic Policy Review",http://www.ny.frb.org/research/epr/,1932-0426,"Jan. 1995, 1(1) - present","Federal Reserve Bank of New York Quarterly Review",
"Federal Reserve Bank of New York Quarterly Review",,0147-6580,"Winter 1976, 1(1) - Winter 1993-94, 18(4)",,"Federal Reserve Bank of New York Economic Policy Review"
"Federal Reserve Bank of Philadelphia Business Review",,0007-7011,"Jan.-Feb. 1994 - 4th Quarter 2015","Federal Reserve Bank Business Review of Philadelphia","Economic Insights"
"Federal Reserve Bank of Richmond Economic Quarterly",http://www.richmondfed.org/publications/research/economic_quarterly/index.cfm,1069-7225,"Winter 1993, 79(1) - 4th Quarter 2020, ()","Federal Reserve Bank of Richmond Economic Review",
"Federal Reserve Bank of Richmond Economic Review",,0094-6893,"Jan.-Feb. 1984, 70(1) - Nov.-Dec. 1992, 78(6)",,"Federal Reserve Bank of Richmond Economic Quarterly"
"Federal Reserve Bank of San Francisco Economic Review",http://www.frbsf.org/publications/economics/review/index.php,0363-0021,"Spring 1976, 76 - 2010","Federal Reserve Bank of San Francisco Monthly Review",
"Federal Reserve Bank of San Francisco Monthly Review",,,"Jan. 1970 - Nov.-Dec. 1989, 71(6)",,"Federal Reserve Bank of San Francisco Economic Review"
"Federal Reserve Bank of St. Louis Review",https://research.stlouisfed.org/publications/review/,0014-9187,"Jan. 1969, 51(1) - present",,
"Federal Reserve Bulletin",https://www.federalreserve.gov/publications/bulletin.htm,0014-9209,"Jan. 1969, 55(1) - present",,
"Feminist Economics",http://www.tandfonline.com/loi/rfec20,1354-5701,"Spring 1995, 1(1) - present",,
"Filosofía de la Economía",https://ojs.econ.uba.ar/index.php/CIECE/issue/archive,2314-3592,"2017, 6(1) - present",,
Finance,http://www.cairn.info/revue-finance.htm,0752-6180,"June 1985, 6(1) - present",,
"Finance a Úver",,0015-1920,"1997, 47(1) - 2002, 52(12)",,"Finance a Úver/Czech Journal of Economics and Finance"
"Finance a Úver/Czech Journal of Economics and Finance",http://journal.fsv.cuni.cz/mag/issue/list/,0015-1920,"2003, 53(1) - present","Finance a Úver",
"Finance and Development",http://www.imf.org/external/pubs/ft/fandd/fda.htm,0015-1947,"March 1969, 6(1) - present",,
"Finance and Society",http://financeandsociety.ed.ac.uk/issue/archive,2059-5999,"2015, 1(1) - present",,
"Finance and Stochastics",https://link.springer.com/journal/volumesAndIssues/780,0949-2984,"April 1997, 1(2) - present",,
"Finance and Trade Economics",http://www.cmjj.org/Home/Index?IsEnglish=1,1002-8102,"January 2016, (1) - present",,
"Finance and Trade Review",,0015-1955,"June 1970, 9(1) - 1983-84, 15(3)",,
"Finance India",http://www.financeindia.org/cop.htm,0970-3772,"March 2000, 14(1) - present",,
"Financial Analysts Journal",http://www.cfapubs.org/loi/faj,0015-198X,"January-February 2012, 68(1) - present",,
"Financial Counseling and Planning",,1052-3073,"2005, 16(1) - 2008, 19(1)",,"Journal of Financial Counseling and Planning"
"Financial Engineering and the Japanese Markets",,1380-2011,"1994, 1(1) - 1997, 4(3)",,"Asia-Pacific Financial Markets"
"Financial History Review",http://journals.cambridge.org/action/displayBackIssues?jid=FHR,0968-5650,"April 1997, 4(1) - present",,
"Financial Industry Studies",,,"Oct. 1993 - Dec. 1998",,
"Financial Management",https://onlinelibrary.wiley.com/loi/1755053x,0046-3892,"Spring 1990, 19(1) - present",,
"Financial Markets and Portfolio Management",,1555-4961,"May 2005, 19(1) - November 2015, 29(4)",,"Financial Markets and Portfolio Management"
"Financial Markets and Portfolio Management",https://link.springer.com/journal/volumesAndIssues/11408,1934-4554,"February 2016, 30(1) - present","Financial Markets and Portfolio Management",
"Financial Markets, Institutions and Instruments",https://onlinelibrary.wiley.com/loi/14680416,0963-8008,"1994, 3(1) - present",,
"Financial Practice and Education",,1082-0698,"Spring 1991, 1(1) - Fall-Winter 2000, 10(2)",,"Journal of Applied Finance"
"Financial Review",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291540-6288/issues,0732-8516,"March 1984, 19(1) - present",,
"Financial Services Review",https://academyfinancial.org/Journal-Access,1057-0810,"Spring 2004, 13(1) - present",,
"Financial Studies",http://fs.icfm.ro/,2066-6071,"2013, 17(1) - present",,
"Financial Theory and Practice",,1846-887X,"2008, 32(1) - December 2016, 40(4)",,"Public Sector Economics"
"Financijska Teorija i Praksa/Financial Theory and Practice",http://www.ijf.hr/eng/index.php?ime=37,1332-3970,"2003, 27(1) - 2009, 33(2)",,
"Finans Politik ve Ekonomik Yorumlar",http://www.ekonomikyorumlar.com.tr/index-3-2016.html,1307-7112,"January 2014, 51(587) - present",,
FinanzArchiv,https://www.mohrsiebeck.com/en/journal/finanzarchiv-fa,0015-2218,"Oct. 1968, 28(1) - present",,
"Finnish Economic Papers",http://www.taloustieteellinenyhdistys.fi/finnish-economic-papers/articles/,0784-5197,"Spring 1989, 2(1) - 2020, 29(2)",,
"Fiscal Studies",https://onlinelibrary.wiley.com/loi/14755890,0143-5671,"Feb. 1984, 5(1) - present",,
"Focus on European Economic Integration",http://www.oenb.at/en/Publications/Economics/Focus-on-European-Economic-Integration.html,2310-5259,"2008, (1) - present",,
"Folia Oeconomica Stetinensia",https://sciendo.com/journal/FOLI,1730-4237,"2009, 8(16) - present",,
"Food Policy",http://www.sciencedirect.com/science/journal/03069192,0306-9192,"March 1996, 21(1) - present",,
"Food Research Institute Studies",,0193-9025,"1970, 9(1) - 1993, 22(3)",,
"Foreign Affairs",http://www.foreignaffairs.com/archive,0015-7120,"Jan. 1969, 47(2) - present",,
"Foreign Trade Review",https://journals.sagepub.com/loi/FTR,0015-7325,"February 2013, 48(1) - present",,
Foresight,https://www.emerald.com/insight/publication/issn/1463-6689,1463-6689,"Feb. 1999, 1(1) - present",,
"Forman Journal of Economic Studies",https://www.fccollege.edu.pk/forman-journal-of-economic-studies/,1990-391X,"January-December 2010, 6 - present",,
"Formation Emploi: Revue Française de Sciences Sociales",http://www.cairn.info/revue-formation-emploi.htm,0759-6340,"March 2004, (85) - present",,
"Forum for Development Studies",http://www.tandfonline.com/loi/sfds20,0803-9410,"1996, (1) - present",,
"Forum for Health Economics and Policy",http://www.degruyter.com/view/j/fhep,2194-6191,"2006, 9(1) - present",,
"Frontiers in Finance and Economics",https://ffejournal.wordpress.com/,1814-2044,"June 2004, 1(1) - present",,
"Frontiers of Business Research in China",http://journal.hep.com.cn/fbr,1673-7326,"February 2007, 1(1) - present",,
"Frontiers of Economics in China",http://journal.hep.com.cn/fec/EN/article/showOldVolumnList.do,1673-3444,"January 2006, 1(1) - present",,
"Frontiers of Macroeconomics",,1534-6021,"2004, 1(1) - 2004, 1(1)",,"B.E. Journal of Macroeconomics: Frontiers of Macroeconomics"
"Frontiers of Theoretical Economics",,1534-5955,"2002, 1(1) - 2002, 1(1)",,"B.E. Journal of Theoretical Economics: Frontiers of Theoretical Economics"
"Fuzzy Economic Review",http://www.sigef.net/2014-09-26-07-16-23/summaries-and-abstracts,1136-0593,"May 2010, 15(1) - present",,
"Gadjah Mada International Journal of Business",http://jurnal.ugm.ac.id/gamaijb/issue/archive,1411-1128,"January-April 2012, 14(1) - present",,
Games,http://www.mdpi.com/journal/games,2073-4336,"2010, 1(1) - present",,
"Games and Economic Behavior",http://www.sciencedirect.com/science/journal/08998256,0899-8256,"March 1989, 1(1) - present",,
"Geneva Papers on Risk and Insurance: Issues and Practice",https://link.springer.com/journal/volumesAndIssues/41288,1018-5895,"Jan. 1999, 24(1) - present",,
"Geneva Papers on Risk and Insurance Theory",,0926-4957,"June 1992, 17(1) - December 2004, 29(2)",,"Geneva Risk and Insurance Review"
"Geneva Risk and Insurance Review",https://link.springer.com/journal/volumesAndIssues/10713,1554-964X,"June 2005, 30(1) - present","Geneva Papers on Risk and Insurance Theory",
"German Economic Review",https://www.degruyter.com/journal/key/ger/html,1465-6485,"1963, 1(1) - 1977, 15(2); February 2000, 1(1) - present",,
"German Journal of Agricultural Economics",http://www.gjae-online.de/inhaltsverzeichnisse/pages/index.prl?past=1,0002-1121,"2010, 59(1) - present",,
"Gestão and Regionalidade",http://seer.uscs.edu.br/index.php/revista_gestao/issue/archive,1808-5792,"January-April 2008, 24(69) - present",,
"Ghana Policy Journal",http://www.ieagh.org/index.php/publications/ghana-policy-journal,0855-3238,"March 2007, 1 - November 2013, 5(1)",,
"Giornale degli Economisti e Annali di Economia",https://www.jstor.org/journal/gioecoanneco,0017-0097,"January-February 1960, 19(1) - October 2012, 71(1)",,
"Global and Local Economic Review",http://www.gler.it/all_issues.htm,1722-4241,"2008, 11 - present",,
"Global Business and Economics Review",http://www.inderscience.com/browse/index.php?journalCODE=gber,1097-4954,"June 1999, 1(1) - present",,
"Global Business and Finance Review",http://www.gbfrjournal.org/html/,1088-6931,"Spring 2016, 21(1) - present",,
"Global Economic Review",http://www.tandfonline.com/loi/rger20,1226-508X,"Spring 1997, 26(1) - present","Journal of East and West Studies",
"Global Economy Journal",,2194-5659,"2004, 4(1) - 2018, 18(4)","Global Economy Quarterly","Global Economy Journal"
"Global Economy Journal",https://www.worldscientific.com/toc/gej/current,2194-5659,"March 2019, 19(1) - present","Global Economy Journal",
"Global Economy Quarterly",,1524-5861,"Jan.-March 2000, 1(1) - June-Dec. 2002, 3(2-4)",,"Global Economy Journal"
"Global Environmental Politics",https://direct.mit.edu/glep,1526-3800,"Feb. 2001, 1(1) - present",,
"Global Finance Journal",http://www.sciencedirect.com/science/journal/10440283,1044-0283,"Spring-Summer 1997, 8(1) - present",,
"Global Journal of Business Research",http://www.theibfr.com/gjbrsample.htm,1931-0277,"2007, 1(1) - present",,
"Global Journal of Emerging Market Economies",http://eme.sagepub.com/content/by/year,0974-9101,"January 2009, 1(1) - present",,
"Global Journal of Finance and Economics",http://www.serialsjournals.com/archives.php?journals_id=51,0972-9496,"March 2004, 1(1) - 2013, 10(2)",,
"Global Social Policy",http://journals.sagepub.com/loi/gspa,1468-0181,"April 2001, 1(1) - present",,
"Globalizacion, Competitividad y Gobernabilidad/Globalization, Competitiveness and Governability",https://gcgjournal.georgetown.edu/index.php/gcg/index,1988-7116,"2007, 1(1) - present",,
"Gospodarstvo Istre",,0353-2860,"1995, 8(1-2) - 1997, 10(2)",,
"Greek Economic Review",,1010-9994,"April 1980, 2(1) - 1992, 14(1)",,
